subject_id,task,admission number,date of entry,name,quality,age,place of birth,port sailed out of,years at sea,last services,under what circumstances admitted (or nature of complaint),date of discharge,how disposed of,number of days victualled,complete
44121912,8,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,9,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,10,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,11,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,13,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,14,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,15,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,16,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,17,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,19,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,20,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,21,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,22,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,23,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,25,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,26,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,27,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,28,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,29,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,1,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,2,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,3,9.0,6.0,6.0,4.0,10.0,5.0,,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,4,9.0,6.0,6.0,4.0,10.0,5.0,,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,5,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,7,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,8,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
44121914,9,9.0,6.0,6.0,4.0,10.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,True
